Activo,Género,Ciudadano_65+,Pareja,Dependientes,Meses_Contrato,Servicio_Teléfono,Varias_Líneas,Servicio_Internet,Seguridad_Online,Respaldo_Online,Protección_Dispositivo,Soporte_Técnico,Streaming_TV,Streaming_Películas,Contrato,Factura_Electrónica,Método_Pago,Cargos_Mensuales,Cargo_Total,ID,Cargos_Diarios,Bucket_Tenure
0,Female,0,True,True,9,True,0,DSL,0,1,0,1,1,0,One year,True,Mailed check,65.6,593.3,0002-ORFBO,2.19,7-12
0,Male,0,False,False,9,True,1,DSL,0,0,0,0,0,1,Month-to-month,False,Mailed check,59.9,542.4,0003-MKNFE,2.0,7-12
1,Male,0,False,False,4,True,0,Fiber optic,0,0,1,0,0,0,Month-to-month,True,Electronic check,73.9,280.85,0004-TLHLJ,2.46,0-6
1,Male,1,True,False,13,True,0,Fiber optic,0,1,1,0,1,1,Month-to-month,True,Electronic check,98.0,1237.85,0011-IGKFF,3.27,13-24
1,Female,1,True,False,3,True,0,Fiber optic,0,0,0,1,1,0,Month-to-month,True,Mailed check,83.9,267.4,0013-EXCHZ,2.8,0-6
0,Female,0,False,True,9,True,0,DSL,0,0,0,1,1,1,Month-to-month,True,Credit card (automatic),69.4,571.45,0013-MHZWF,2.31,7-12
0,Female,1,True,False,71,True,0,Fiber optic,1,1,1,1,1,1,Two year,True,Bank transfer (automatic),109.7,7904.25,0013-SMEOE,3.66,60+
0,Male,0,True,False,63,True,1,Fiber optic,1,0,0,1,0,0,Two year,True,Credit card (automatic),84.65,5377.8,0014-BMAQU,2.82,60+
0,Female,1,False,False,7,True,0,DSL,1,0,0,0,0,0,Month-to-month,True,Electronic check,48.2,340.35,0015-UOCOJ,1.61,7-12
0,Female,0,True,True,65,True,1,DSL,1,1,1,1,1,1,Two year,True,Mailed check,90.45,5957.9,0016-QLJIS,3.02,60+
0,Male,0,False,False,54,False,-1,DSL,1,0,0,1,1,0,Two year,False,Credit card (automatic),45.2,2460.55,0017-DINOC,1.51,37-60
0,Female,0,True,True,72,True,1,Fiber optic,1,1,1,1,1,1,Two year,True,Credit card (automatic),116.8,8456.75,0017-IUDMW,3.89,60+
0,Female,0,True,False,5,True,0,Fiber optic,0,0,0,0,0,0,Month-to-month,True,Electronic check,68.95,351.5,0018-NYROU,2.3,0-6
0,Female,0,False,False,72,True,1,Fiber optic,1,1,1,0,1,0,Two year,True,Bank transfer (automatic),101.3,7261.25,0019-EFAEP,3.38,60+
0,Female,0,False,False,56,False,-1,DSL,1,1,1,1,0,0,Two year,False,Bank transfer (automatic),45.05,2560.1,0019-GFNTW,1.5,37-60
0,Female,0,True,True,71,True,1,Fiber optic,0,1,1,0,0,1,Two year,True,Credit card (automatic),95.75,6849.4,0020-INWCK,3.19,60+
0,Female,0,True,True,34,False,-1,DSL,1,0,1,1,1,1,One year,False,Mailed check,61.25,1993.2,0020-JDNXP,2.04,25-36
0,Female,1,False,False,1,True,1,Fiber optic,0,0,0,0,0,0,Month-to-month,True,Electronic check,72.1,72.1,0021-IKXGC,2.4,0-6
1,Male,1,False,False,45,True,0,DSL,1,0,1,0,0,1,One year,False,Credit card (automatic),62.7,2791.5,0022-TCJCI,2.09,37-60
1,Male,1,False,False,1,False,-1,DSL,0,0,0,0,0,0,Month-to-month,True,Electronic check,25.1,25.1,0023-HGHWL,0.84,0-6
0,Female,1,True,False,50,True,1,No,-1,-1,-1,-1,-1,-1,One year,False,Electronic check,25.2,1306.3,0023-UYUPN,0.84,37-60
1,Female,0,True,False,13,True,1,Fiber optic,0,1,1,0,1,0,Month-to-month,False,Electronic check,94.1,1215.6,0023-XUOPT,3.14,13-24
0,Female,0,True,True,23,True,1,Fiber optic,0,0,0,0,1,0,Month-to-month,True,Electronic check,83.75,1849.95,0027-KWYKW,2.79,13-24
0,Female,0,False,False,3,True,0,No,-1,-1,-1,-1,-1,-1,Month-to-month,False,Mailed check,19.85,57.2,0030-FNXPP,0.66,0-6
1,Female,0,True,True,4,True,0,No,-1,-1,-1,-1,-1,-1,Month-to-month,False,Mailed check,20.35,76.35,0031-PVLZI,0.68,0-6
1,Female,0,True,True,1,False,-1,DSL,1,0,0,0,0,0,Month-to-month,False,Bank transfer (automatic),30.5,30.5,0032-PGELS,1.02,0-6
0,Female,0,True,True,55,True,0,Fiber optic,0,1,1,1,1,1,One year,True,Bank transfer (automatic),103.7,5656.75,0036-IHMOT,3.46,37-60
0,Male,0,True,True,54,True,0,No,-1,-1,-1,-1,-1,-1,Two year,False,Credit card (automatic),20.4,1090.6,0040-HALCW,0.68,37-60
0,Male,0,False,False,26,True,0,No,-1,-1,-1,-1,-1,-1,One year,True,Bank transfer (automatic),19.6,471.85,0042-JVWOJ,0.65,25-36
0,Female,0,True,True,69,True,0,No,-1,-1,-1,-1,-1,-1,Two year,False,Bank transfer (automatic),19.7,1396.9,0042-RLHYP,0.66,60+
,Female,0,False,False,11,True,1,Fiber optic,1,0,0,0,0,0,Month-to-month,True,Bank transfer (automatic),79.0,929.3,0047-ZHDTW,2.63,7-12
0,Male,0,True,True,37,True,0,Fiber optic,0,0,0,0,1,1,One year,False,Credit card (automatic),91.2,3247.55,0048-LUMLS,3.04,37-60
0,Female,0,True,False,49,True,0,No,-1,-1,-1,-1,-1,-1,One year,False,Bank transfer (automatic),20.45,900.9,0048-PIHNL,0.68,37-60
0,Male,0,True,False,66,True,1,Fiber optic,1,1,1,1,1,1,One year,False,Bank transfer (automatic),115.8,7942.15,0052-DCKON,3.86,60+
0,Female,0,False,False,67,True,0,No,-1,-1,-1,-1,-1,-1,One year,False,Electronic check,20.55,1343.4,0052-YNYOT,0.68,60+
0,Male,0,True,True,20,False,-1,DSL,1,0,1,1,0,0,Two year,True,Credit card (automatic),39.4,825.4,0056-EPFBG,1.31,13-24
0,Female,0,False,True,43,True,1,No,-1,-1,-1,-1,-1,-1,Two year,True,Electronic check,25.1,1070.15,0057-QBUQH,0.84,37-60
0,Female,0,True,False,55,True,1,Fiber optic,1,0,0,0,1,0,Month-to-month,True,Bank transfer (automatic),89.8,4959.6,0058-EVZWM,2.99,37-60
0,Female,0,True,False,59,True,1,Fiber optic,1,1,0,0,1,0,Month-to-month,True,Electronic check,94.75,5597.65,0060-FUALY,3.16,37-60
0,Female,0,True,True,12,True,0,No,-1,-1,-1,-1,-1,-1,Two year,False,Bank transfer (automatic),20.3,224.5,0064-SUDOG,0.68,7-12
0,Male,0,True,True,27,True,1,Fiber optic,0,0,0,0,0,0,Month-to-month,True,Bank transfer (automatic),75.75,1929.0,0064-YIJGF,2.52,25-36
1,Male,1,False,False,2,True,0,DSL,1,0,0,0,0,0,Month-to-month,True,Electronic check,49.25,91.1,0067-DKWBL,1.64,0-6
0,Female,0,False,False,27,True,0,DSL,0,1,1,1,1,1,One year,False,Mailed check,78.2,2078.95,0068-FIGTF,2.61,25-36
0,Male,0,True,True,25,True,1,No,-1,-1,-1,-1,-1,-1,Two year,False,Credit card (automatic),25.5,630.6,0071-NDAFP,0.85,25-36
0,Male,0,True,True,25,True,0,DSL,1,1,1,0,0,0,One year,True,Bank transfer (automatic),61.6,1611.0,0074-HDKDG,2.05,25-36
0,Male,0,False,True,29,False,-1,DSL,1,1,1,1,0,0,Month-to-month,True,Mailed check,45.0,1242.45,0076-LVEPS,1.5,25-36
0,Male,0,True,False,72,True,1,DSL,0,1,1,1,1,1,Two year,True,Bank transfer (automatic),85.15,6316.2,0078-XZMHT,2.84,60+
0,Female,0,False,False,14,True,0,DSL,0,1,0,0,0,0,One year,False,Credit card (automatic),51.45,727.85,0080-EMYVY,1.72,13-24
0,Female,0,False,False,35,True,0,Fiber optic,0,0,1,1,1,1,One year,True,Electronic check,99.25,3532.0,0080-OROZO,3.31,25-36
0,Male,0,False,False,1,True,0,DSL,0,0,0,0,0,0,Month-to-month,True,Mailed check,44.3,44.3,0082-LDZUE,1.48,0-6
0,Male,0,False,False,29,True,0,Fiber optic,0,0,0,1,1,1,Month-to-month,True,Electronic check,94.2,2607.6,0082-OQIQY,3.14,25-36
0,Male,0,False,False,64,True,1,DSL,1,1,1,1,1,0,One year,False,Electronic check,81.25,5567.55,0083-PIVIK,2.71,60+
0,Female,0,True,True,39,True,1,Fiber optic,0,0,0,1,1,1,Month-to-month,True,Credit card (automatic),99.95,3767.4,0089-IIQKO,3.33,37-60
0,Female,1,False,False,40,True,0,Fiber optic,0,0,0,0,1,1,Month-to-month,True,Electronic check,91.55,3673.6,0093-EXYQL,3.05,37-60
1,Male,0,False,False,40,True,1,Fiber optic,0,1,1,0,1,1,Month-to-month,True,Credit card (automatic),104.5,4036.85,0093-XWZFY,3.48,37-60
1,Female,1,False,False,11,True,0,Fiber optic,0,1,0,0,1,1,Month-to-month,True,Electronic check,95.0,1120.3,0094-OIFMO,3.17,7-12
0,Female,0,True,False,6,True,1,DSL,0,0,0,0,0,0,Month-to-month,False,Electronic check,50.35,314.55,0096-BXERS,1.68,0-6
0,Male,0,False,False,30,True,1,DSL,1,0,0,0,0,1,Month-to-month,True,Mailed check,64.5,1888.45,0096-FCPUF,2.15,25-36
0,Male,0,False,False,27,True,0,No,-1,-1,-1,-1,-1,-1,Month-to-month,True,Electronic check,19.4,529.8,0098-BOWSO,0.65,25-36
0,Male,1,True,False,70,True,1,Fiber optic,0,1,1,0,1,1,One year,True,Electronic check,104.8,7308.95,0100-DUVFC,3.49,60+
0,Female,0,True,False,57,True,1,Fiber optic,0,1,1,1,1,1,One year,True,Bank transfer (automatic),109.4,6252.7,0103-CSITQ,3.65,37-60
0,Male,0,True,False,58,True,0,DSL,0,0,1,0,0,0,One year,False,Credit card (automatic),50.3,2878.55,0104-PPXDV,1.68,37-60
0,Male,0,False,False,16,True,1,DSL,0,1,1,0,0,1,Month-to-month,True,Bank transfer (automatic),71.4,1212.1,0106-GHRQR,2.38,13-24
0,Female,0,True,False,69,True,1,Fiber optic,1,1,1,1,1,1,Two year,True,Electronic check,116.0,8182.85,0106-UGRDO,3.87,60+
1,Male,0,False,False,1,True,0,No,-1,-1,-1,-1,-1,-1,Month-to-month,True,Electronic check,19.85,19.85,0107-WESLM,0.66,0-6
1,Male,0,False,True,1,True,1,Fiber optic,0,0,1,0,1,1,Month-to-month,True,Electronic check,99.75,99.75,0107-YHINA,3.32,0-6
0,Male,1,True,True,32,True,0,Fiber optic,0,1,0,0,1,1,Month-to-month,True,Mailed check,93.95,2861.45,0111-KLBQG,3.13,25-36
0,Male,0,True,True,16,True,1,Fiber optic,0,0,1,0,1,0,Month-to-month,True,Bank transfer (automatic),90.8,1442.2,0112-QAWRZ,3.03,13-24
1,Male,0,True,False,49,True,1,DSL,1,0,1,1,1,1,One year,False,Electronic check,84.35,4059.35,0112-QWPNC,2.81,37-60
0,Female,0,True,False,71,False,-1,DSL,0,1,1,1,1,1,Two year,False,Bank transfer (automatic),58.25,4145.9,0114-IGABW,1.94,60+
0,Female,0,False,False,33,True,1,Fiber optic,0,1,1,0,1,1,Month-to-month,False,Electronic check,107.55,3645.5,0114-PEGZZ,3.58,25-36
